,score
206084,55.93650793650794
330174,55.92972181551976
135382,50.30103995621237
351526,38.47802786709539
291572,29.406946264744434
12002,62.48639496916193
180040,63.77091377091377
33604,69.24577373211963
113636,61.399416909620996
102548,63.61177884615385
122522,67.00853421170834
29603,19.0292333149476
34219,0.9445818419444332
172385,0.12563390738416033
331106,19.317005864091065
318546,28.556485355648537
118048,37.65132622987984
244536,61.657930498932245
182631,33.631028323551924
326945,14.103819784524976
2808,51.14453891432309
100901,55.997298894234824
246192,47.62761219595752
171131,40.93429510770892
283317,36.33802816901409
183880,62.38095238095238
40765,38.79446294024882
63628,47.69434809222607
137408,43.89563505086971
13884,55.47273440564927
291845,37.150127226463106
9446,66.55052264808361
102435,28.28185328185328
85005,67.5249807840123
253608,32.126398946675444
58936,45.938748335552596
5206,62.560054907343854
189932,28.86286817962337
209778,61.61403851793919
245422,42.013498312710915
227515,44.427422443508235
111417,69.04205607476635
92319,64.5918747670518
194517,32.92627770239711
256382,59.54734510884243
306882,42.73635664873174
31497,70.39106145251397
325494,12.090680100755668
146312,59.60125918153201
229265,40.5080831408776
41002,50.49944506104328
105037,61.82273723770748
190082,39.8566117896973
224597,37.824561403508774
37628,60.04136029411765
36522,65.22842639593908
316554,0.5810126082049236
192945,61.67883211678832
356123,30.797971710701894
245931,52.054794520547944
169654,65.37068184758701
37907,62.6607043040805
300531,33.362293657688966
14996,1.5398320797384777
128671,42.2344279537221
38863,57.36994219653179
178336,56.77069899406758
3072,99.95462391319775
315610,19.029674988224208
195544,73.12577833125779
310448,36.82170542635659
270970,50.60034305317325
196526,47.189952904238616
311193,32.15559157212318
26566,52.095654409874
16267,75.66043336301573
329839,39.73125414731254
9217,50.32613514026978
134352,54.622009569377994
72287,69.42563623628298
5404,51.093852548676445
551,56.55133295519001
230080,66.4323374340949
303672,65.20317608594115
136888,43.63889857093064
290236,51.06946624803768
257499,33.98555788492895
105,71.42857142857143
272533,45.8679706601467
67239,66.65816774178066
186751,20.255235602094242
97903,67.12839637719765
244228,99.82743181364032
159503,50.03089307201007
254713,50.16982047549733
347013,62.39356669820246
127997,71.70590665014457
137297,71.17834394904459
245654,56.95548815476678
344554,42.52100840336134
3228,64.1495041952708
113873,33.83458646616541
318472,16.16294349540079
193214,59.22899271629064
175549,57.775808595480726
204472,45.78239608801956
126792,51.01781170483461
163839,33.737262462131646
91312,53.52798053527981
306881,37.77101559528338
245476,64.31056293485136
298383,34.443746071653045
202426,32.69834155087405
155873,26.586660512347105
17405,26.79646017699115
188920,32.03828372130749
359438,18.3206106870229
2398,58.44435335109653
1032,55.47373588610702
221965,57.91583166332666
221194,37.627969866718175
113401,74.28219852337982
181810,74.71841968463005
248125,36.075036075036074
303551,21.584699453551913
156091,50.068917987594766
87890,99.74506632157878
2122,50.10343400910219
138649,49.326718639262936
244711,37.35676088617265
142379,39.598393574297184
300753,52.456200618344205
247236,58.234758871701544
98,69.30792377131394
165950,71.75948743223263
117915,42.84196547144754
21920,68.61717612809316
58421,46.87902780335113
25669,99.46694969640124
284777,23.98353062274833
242574,59.21437526117844
291457,15.644764869736195
317457,41.848484848484844
304051,40.42657514096592
167791,59.77374848251634
172081,0.4950032781674051
168584,53.821313240043054
182134,42.72057873659734
268012,15.384615384615385
160010,36.71251109139308
224783,31.13038277511962
234,32.37308622078969
166226,56.99614890885751
302388,52.275379229871646
302524,54.762741652021084
278,68.45319347654285
365717,15.107242772769661
364011,13.811475409836065
286751,23.84436315264383
225167,38.63237872589129
19777,29.841549295774648
17133,36.18822763168607
332772,18.79860552426924
22,45.84120982986767
256226,50.47850643238155
197070,50.693407296778325
266966,41.672946495855314
272739,35.535494460402134
18833,43.524144547489605
354934,15.154349859681945
293296,40.744492276525705
168998,54.804270462633454
272453,51.454321999180664
171668,55.47093348239239
223855,52.74378207658903
127518,30.0
193037,40.34102724059056
41916,71.62988115449916
154246,66.7572463768116
158435,42.153457530786234
148228,49.37556574298479
2093,58.66430903155604
235488,57.8087033355423
260180,44.3274230102653
253499,45.03941288393585
205059,27.28938794507796
346703,54.884056229724855
204027,0.5677278563279843
140620,0.6360586233867044
244995,74.26279271465741
192457,53.247330960854086
155362,66.81803005008348
41010,74.10735972795725
241266,50.04284845331066
85256,50.09549142968155
307002,99.76139949750495
261594,32.9938900203666
334590,0.008066021384955869
123260,1.0302043620931645
257614,99.86055054644264
366161,15.107102593010147
521,28.19715276947003
71721,0.7840783920470921
259374,56.703146374829004
350458,41.88361408882083
129622,54.88347377210962
265188,26.551862234681618
1540,57.222687901648506
318184,32.51336898395722
2651,95.93341618649494
335609,59.12617394855043
146021,33.54606308146131
184267,21.05492589363557
132372,64.21818181818182
232988,66.14012738853503
25613,29.581288503706798
150145,45.09163067584919
133848,50.8874072682881
192291,48.456202811368236
168681,66.4203233256351
179303,69.72735819492321
244918,57.19077568134172
332386,56.53145959757266
345584,32.13263358778626
262712,36.44365326608317
183562,35.649644473173886
241831,70.49985553308292
194626,65.52830188679245
236457,31.969629957246052
162886,20.500572762444076
247367,44.819193324061196
173346,93.81912811191488
166857,45.56962025316456
256952,40.13710747456877
165986,54.86395825568393
299960,43.71989625787329
216428,63.86375731772219
27162,54.384074701144115
154086,49.553719008264466
21441,68.1646048977531
338760,26.953567383918458
2955,54.05545927209705
293014,37.77519315444047
7805,73.69966956308897
986,72.65991602864905
71074,60.53293112116641
25643,65.79743888242142
204,62.05128205128205
176371,51.421880227500836
146418,56.73652694610778
183251,58.59257871064468
233867,1.1580050391153554
293678,47.58620689655172
176544,49.797570850202426
218121,55.70402538834141
20542,23.253676470588236
40793,65.25883754799418
257527,63.281799016163035
9674,60.049642456119614
297978,65.47798066595058
258210,37.6204523107178
73,61.25069793411502
94362,66.47817235919476
150,52.49070631970261
