,1,2,3,4,5,6,7,8,9,10
138649,11,5,9,27,78,232,359,456,147,87
244711,14,8,39,82,180,690,"1,493","2,992",785,262
142379,14,22,44,85,171,592,"1,124","1,932",718,278
300753,5,4,15,53,120,492,862,999,261,100
247236,4,14,36,89,163,641,"1,027","1,023",223,77
98,29,141,283,526,"1,183","3,189","2,703","1,886",593,434
165950,2,9,24,94,302,"1,175","1,341",881,156,74
117915,12,24,58,87,184,492,850,"1,390",458,210
21920,5,22,58,120,283,840,"1,114",820,131,42
58421,12,9,26,75,167,709,"1,595","2,139",522,177
25669,26,70,156,557,"1,492","5,403","999,999","3,981",784,382
284777,0,1,4,7,20,118,321,797,404,271
242574,6,17,36,91,293,"1,380","2,487","2,319",394,156
291457,195,99,162,236,437,"1,347","2,754","8,182","8,765","8,338"
317457,6,12,36,61,117,430,773,"1,372",361,132
304051,6,11,33,41,141,478,989,"1,690",472,218
167791,257,202,498,"999,999","999,999","4,971","999,999","999,999","999,999","21,314"
172081,9,21,54,120,338,"1,476","3,049","999,999","1,176",418
168584,13,20,38,89,219,945,"1,747","1,766",493,244
182134,16,19,44,113,250,967,"1,977","2,971",940,444
268012,9,13,5,6,13,37,72,191,214,272
160010,21,16,51,105,197,511,842,"1,488",784,493
224783,11,11,58,105,227,664,"1,086","2,556","1,308",662
234,31,21,36,85,160,436,926,"1,758",945,566
166226,2,5,13,40,101,433,758,807,127,51
302388,6,7,14,42,101,449,752,891,204,105
302524,3,11,33,64,142,522,830,937,231,72
278,37,94,255,551,"1,191","3,693","4,093","2,998",722,285
365717,6,2,6,9,37,129,311,"1,312",951,454
364011,3,2,6,8,26,99,204,810,754,528
286751,18,6,17,21,53,193,450,"1,245",617,387
225167,7,29,42,57,89,241,274,450,254,268
19777,15,21,44,79,131,395,751,"1,510",994,604
17133,40,45,61,167,351,"1,272","2,655","4,834","1,995",863
332772,5,4,10,28,53,179,441,"1,548","1,025",436
22,11,34,59,98,146,339,387,440,255,347
256226,18,23,70,138,479,"1,906","3,912","4,745","1,043",414
197070,30,40,91,161,291,807,"1,117","1,375",488,287
266966,1,2,8,25,40,164,324,512,150,101
272739,4,7,19,36,72,254,504,993,409,139
18833,21,21,38,83,214,821,"1,604","2,329",739,384
354934,3,0,3,0,9,41,112,458,308,135
293296,10,2,11,23,84,398,"1,104","1,636",454,227
168998,5,6,14,23,87,256,404,412,127,71
272453,13,18,29,64,126,395,671,710,254,161
171668,17,44,148,305,693,"2,627","4,314","4,695","1,060",409
223855,2,5,14,55,121,421,739,935,182,59
127518,5,5,13,24,41,140,314,681,355,152
193037,21,31,84,166,350,"1,161","2,203","3,593","1,359",650
41916,6,8,46,140,415,"1,697","1,967","1,230",250,131
154246,6,12,50,126,366,"1,343","1,850","1,520",190,57
158435,4,6,15,49,98,395,793,"1,252",381,174
148228,104,"999,999",458,"1,094","2,922","10,564","999,999","27,220","8,582","3,878"
2093,23,68,93,278,614,"1,567","1,854","1,539",674,642
235488,7,5,22,69,207,798,"1,543","1,508",253,115
260180,6,7,23,56,215,947,"2,107","3,128",716,296
253499,7,10,41,68,143,539,907,"1,439",412,113
205059,124,153,275,497,943,"2,787","5,154","11,807","7,707","4,929"
346703,29,66,142,257,507,"1,421","2,383","2,596",657,265
204027,8,13,77,207,549,"2,048","2,909","999,999",353,129
140620,29,"999,999",111,232,546,"1,889","3,790","6,115","1,828",619
244995,5,13,36,113,312,"1,416","1,584",917,163,53
192457,26,26,79,174,413,"1,190","1,814","2,155",619,248
155362,32,76,157,407,"1,027","3,724","4,848","3,820",651,233
41010,5,16,50,164,396,"1,160","1,331",749,169,77
241266,3,5,14,"999,999",160,653,"1,249","999,999",220,104
85256,18,27,61,202,"999,999","2,601","2,870","1,461",272,"999,999"
307002,10,7,16,45,"999,999",561,"1,188","1,668",484,211
