,score
188547,55.84835876098012
229220,57.61698310659291
319910,77.6604386677498
310192,50.299727520435965
15512,28.990212461207925
248490,61.303813038130386
1499,57.905686546463244
350736,53.29985652797704
191977,37.365591397849464
27833,59.15061728395061
266164,62.30191826522101
98351,44.86245003526922
290359,70.89030689759952
75358,26.49402390438247
281655,80.95563139931741
70149,64.00296653379067
349067,85.20809898762654
246784,56.08317580340265
332321,39.46830265848671
323612,71.90369312385228
8051,36.08058608058608
251661,90.39909638554217
206084,43.17460317460318
330174,43.63103953147877
135382,45.84017515051998
351526,60.021436227224015
291572,67.21821756225425
12002,36.23170879187326
180040,35.231660231660236
33604,28.868660598179453
113636,38.01749271137026
102548,33.27824519230769
122522,29.944602485402005
29603,79.86762272476558
34219,99.04016391909938
172385,99.8722705310153
331106,77.19903414970679
318546,70.7112970711297
118048,61.82271593742915
244536,36.16773442050088
182631,65.82036233733095
326945,85.40646425073457
2808,47.67822105951603
100901,42.846290200050646
246192,51.730044535799934
171131,57.55434515923255
283317,61.12676056338028
183880,36.16666666666667
40765,59.73366041703172
63628,51.224239951030405
137408,55.23465703971119
13884,41.310317771675166
291845,62.231915667030165
9446,30.50522648083624
102435,71.23552123552123
85005,30.361260568793234
253608,66.75444371296906
58936,51.997336884154464
5206,35.00343170899108
189932,70.63013037180106
209778,36.479616775833414
245422,57.08661417322835
227515,55.1129835312141
111417,29.906542056074763
92319,33.87998509131569
194517,65.17412935323384
256382,37.94630799978393
306882,56.648731744811684
31497,27.815348426933255
325494,86.0621326616289
146312,39.664218258132216
229265,58.4757505773672
41002,47.72475027746948
105037,36.86188537425619
190082,59.29368029739776
224597,60.280701754385966
37628,38.143382352941174
36522,32.944162436548226
316554,3.013689651749062
192945,37.71289537712895
356123,67.92100346944223
245931,46.3013698630137
169654,32.88264976064174
37907,36.780324203465625
300531,65.7495897287383
14996,1.939508940851492
128671,55.5802267149702
38863,41.61849710982659
178336,42.429713696156824
3072,0.043577034902606324
315610,78.56806406029204
195544,25.504358655043585
310448,62.467700258397926
270970,48.79931389365352
196526,51.96232339089482
311193,67.26094003241491
26566,46.72152224222165
16267,22.617987533392697
329839,59.80424684804247
9217,48.29333164460769
134352,41.665071770334926
72287,29.325239318234882
5404,47.89980310654124
551,42.14407260351673
230080,32.56111199872184
303672,33.16207379729099
136888,55.097594980829555
290236,47.99843014128729
257499,63.824831120428605
105,27.135955831608005
272533,52.224938875305625
67239,16.67692370248497
186751,78.33769633507853
97903,31.073521576984547
244228,0.16907994695882833
159503,49.96625987042392
254713,48.47161572052402
347013,36.471144749290445
127997,27.63320941759603
137297,26.984321411073005
245654,42.23296991556685
344554,55.79831932773109
3228,34.74446987032799
113873,64.4303065355697
318472,83.04862023653088
193214,39.136613963403796
175549,40.274700930438634
204472,52.66911165444172
126792,47.837150127226465
163839,62.599834756265494
91312,45.070559610705594
306881,61.65842525675161
245476,34.029095509171405
298383,64.07919547454432
