id,price
146312,$119.98
229265,-1
41002,-1
105037,-1
190082,$41.56
224597,$149.99
37628,-1
36522,-1
316554,$51.42
192945,-1
356123,$39.99
245931,-1
169654,$19.76
37907,-1
300531,$61.66
14996,$33.80
128671,-1
38863,$40.90
178336,$27.26
3072,-1
315610,$99.00
195544,-1
310448,$24.99
270970,-1
196526,-1
311193,$44.02
26566,$84.00
16267,$34.38
329839,$24.99
9217,-1
134352,-1
72287,$16.99
5404,$133.00
551,$192.96
230080,-1
303672,$16.67
136888,-1
290236,$54.98
257499,$55.71
105,-1
272533,$56.31
67239,-1
186751,-1
97903,-1
244228,$34.96
159503,$39.95
254713,$59.99
347013,$23.50
127997,-1
137297,-1
245654,$23.00
344554,$54.95
3228,-1
113873,-1
318472,-1
193214,$85.00
175549,$24.99
204472,$65.25
126792,-1
163839,$89.95
91312,-1
306881,-1
245476,-1
298383,$67.17
202426,$59.03
155873,-1
17405,$57.73
188920,$69.41
359438,$53.28
2398,$12.99
1032,-1
221965,$15.99
221194,$39.99
113401,$24.99
181810,$19.99
248125,-1
303551,-1
156091,$39.99
87890,$78.88
2122,-1
138649,$19.99
244711,$68.97
142379,-1
300753,$16.02
247236,-1
98,$299.99
165950,-1
117915,$137.21
21920,$51.98
58421,-1
25669,$24.95
284777,$27.99
242574,$31.89
291457,$37.47
317457,$37.20
304051,$49.00
167791,$79.99
172081,-1
168584,-1
182134,$58.50
268012,$299.99
160010,-1
224783,$129.99
234,$108.98
166226,$47.77
302388,$14.31
302524,$19.99
278,-1
365717,$49.95
364011,$55.99
286751,$109.04
225167,-1
19777,-1
17133,$149.99
332772,-1
22,-1
256226,$31.99
197070,$179.95
266966,$29.99
272739,$49.99
18833,-1
354934,$52.99
293296,-1
168998,$12.99
272453,$11.58
171668,$22.35
223855,-1
127518,-1
193037,$45.95
41916,-1
154246,-1
158435,-1
148228,$35.99
2093,-1
235488,$69.96
260180,$34.99
253499,$50.00
205059,$87.99
346703,$48.99
204027,-1
140620,-1
244995,$14.55
192457,$39.95
155362,-1
41010,$23.99
241266,$26.96
85256,$13.99
307002,-1
261594,-1
334590,$15.97
123260,$69.95
257614,-1
366161,$43.95
521,$165.00
71721,-1
259374,-1
350458,$88.80
129622,$19.78
265188,$84.99
1540,-1
318184,$41.20
2651,$42.83
335609,-1
146021,$55.99
184267,$122.49
132372,-1
232988,$19.99
25613,-1
150145,$16.99
133848,-1
192291,$19.99
